Items;Num;Year
Grains;28,8;1990
 Wheat;25,5;1990
 Barley;23,2;1990
 Corn;62,5;1990
 Leguminous ;13;1990
 Rice;19,1;1990
Sugar-beet;168,5;1990
Cotton (fabric) ;27,3;1990
Tobacco;28,8;1990
Vegetable oils;13,3;1990
Potatoes;137;1990
Vegetables;203;1990
Melons;139;1990
Fruits and berries;41,2;1990
Grapes;63,2;1990
Grains;25,5;1991
 Wheat;23;1991
 Barley;19,9;1991
 Corn;58,8;1991
 Leguminous ;12,3;1991
 Rice;14,4;1991
Sugar-beet;158,6;1991
Cotton (fabric) ;24,6;1991
Tobacco;21,2;1991
Vegetable oils;10,6;1991
Potatoes;137;1991
Vegetables;177;1991
Melons;109;1991
Fruits and berries;25,9;1991
Grapes;45,3;1991
Grains;26,5;1992
 Wheat;25,7;1992
 Barley;22,2;1992
 Corn;51,7;1992
 Leguminous ;9,8;1992
 Rice;16,1;1992
Sugar-beet;218,7;1992
Cotton (fabric) ;24,5;1992
Tobacco;21;1992
Vegetable oils;8;1992
Potatoes;125;1992
Vegetables;159;1992
Melons;81;1992
Fruits and berries;35,5;1992
Grapes;50,6;1992
Grains;24,6;1993
 Wheat;24,9;1993
 Barley;20,7;1993
 Corn;46,5;1993
 Leguminous ;9,1;1993
 Rice;10,6;1993
Sugar-beet;198,9;1993
Cotton (fabric) ;24,7;1993
Tobacco;23,3;1993
Vegetable oils;5,3;1993
Potatoes;108;1993
Vegetables;143;1993
Melons;69;1993
Fruits and berries;14,2;1993
Grapes;15,9;1993
Grains;17,8;1994
 Wheat;17,6;1994
 Barley;14,9;1994
 Corn;35,9;1994
 Leguminous ;11,4;1994
 Rice;13,9;1994
Sugar-beet;136,8;1994
Cotton (fabric) ;20,4;1994
Tobacco;19,4;1994
Vegetable oils;5;1994
Potatoes;90;1994
Vegetables;118;1994
Melons;78;1994
Fruits and berries;20,2;1994
Grapes;25,6;1994
Grains;18,1;1995
 Wheat;18,3;1995
 Barley;13;1995
 Corn;37,4;1995
 Leguminous ;8,8;1995
 Rice;15,5;1995
Sugar-beet;123,1;1995
Cotton (fabric) ;22,4;1995
Tobacco;20,8;1995
Vegetable oils;4,4;1995
Potatoes;99;1995
Vegetables;103;1995
Melons;65;1995
Fruits and berries;20,9;1995
Grapes;29,6;1995
Grains;22,7;1996
 Wheat;22,2;1996
 Barley;16,7;1996
 Corn;43,2;1996
 Leguminous ;16,9;1996
 Rice;17,5;1996
Sugar-beet;152,1;1996
Cotton (fabric) ;23,1;1996
Tobacco;21,1;1996
Vegetable oils;5,2;1996
Potatoes;114;1996
Vegetables;113;1996
Melons;83;1996
Fruits and berries;24,1;1996
Grapes;22,4;1996
Grains;24,2;1997
 Wheat;23,7;1997
 Barley;18,8;1997
 Corn;45,9;1997
 Leguminous ;16,1;1997
 Rice;19,3;1997
Sugar-beet;180,7;1997
Cotton (fabric) ;25,1;1997
Tobacco;21,3;1997
Vegetable oils;6,9;1997
Potatoes;121;1997
Vegetables;132;1997
Melons;121;1997
Fruits and berries;27,1;1997
Grapes;31,3;1997
Grains;26;1998
 Wheat;24,6;1998
 Barley;21,6;1998
 Corn;49,2;1998
 Leguminous ;16,2;1998
 Rice;22;1998
Sugar-beet;199,7;1998
Cotton (fabric) ;24,6;1998
Tobacco;22,4;1998
Vegetable oils;7,9;1998
Potatoes;131;1998
Vegetables;143;1998
Melons;123;1998
Fruits and berries;25,4;1998
Grapes;23;1998
Grains;26,2;1999
 Wheat;24,3;1999
 Barley;19,7;1999
 Corn;53;1999
 Leguminous ;18,5;1999
 Rice;24,5;1999
Sugar-beet;203,3;1999
Cotton (fabric) ;25,1;1999
Tobacco;24,5;1999
Vegetable oils;8,7;1999
Potatoes;150;1999
Vegetables;152;1999
Melons;150;1999
Fruits and berries;23,9;1999
Grapes;24,1;1999
Grains;26,4;2000
 Wheat;23,4;2000
 Barley;21,4;2000
 Corn;55,8;2000
 Leguminous ;20,4;2000
 Rice;26,3;2000
Sugar-beet;191,4;2000
Cotton (fabric) ;26;2000
Tobacco;23,8;2000
Vegetable oils;9,2;2000
Potatoes;150,9;2000
Vegetables;157;2000
Melons;164;2000
Fruits and berries;37,8;2000
Grapes;36,5;2000
Grains;28,3;2001
 Wheat;24,9;2001
 Barley;20,8;2001
 Corn;59,9;2001
 Leguminous ;18,5;2001
 Rice;27,3;2001
Sugar-beet;164,1;2001
Cotton (fabric) ;25,9;2001
Tobacco;24,9;2001
Vegetable oils;9,7;2001
Potatoes;157;2001
Vegetables;165;2001
Melons;162;2001
Fruits and berries;37,3;2001
Grapes;37;2001
